comments,Helpful
"before buying the product, i did not think to test my laptop in my vehicle. if i had, i would not have bought this product. i have the version of streets and trips on my desk pc and use it a lot and thought it would be cool to get the gps version for my laptop to actually use on a real trip. the first time i tried to use it, i realized my laptop screen went unreadble in bright sunlight. my entire justification for buying went out the window. i did not need a second copy of s&t for a laptop and i certainly did not need the pricier gps version.",0
"i recently purchased catz for my son who is ll. he is a real animal lover and thought it would be right up his alley since he loves zoo tycoon. however, we found catz to be very juvenile for children in this age range. there is not much to do but dress your animals, bathe them, and plant flowers. true you can pet them, play with them, etc., but this is not entertaining for an ll year old. most of the games, like tic- tac-toe don't work, and the game ends up picking where your x will go. if you want an educational, stimulating game for your child, don't buy catz, unless your child is under the age of . any child above that age range will be bored within the first half hour.",0
"i really like norton internet security.he's really on the ball.i have it set to let me know if anyone tries to access my computer,and it does a great job.i was quite surprised to find out how many times a day my internet security was compromised!it was worth every cent!i would recommend it to anyone!",0
"just as some of the buyers have complained here in amazon.com, the &quot;convenient&quot; installation in this britannica dvd doesn't work. obviously, this is due to a bug in the program. so i have to keep the dvd always in the computer, an inconvenient option. the multimedia is not as bad as some encarta enthusiasts claimed. this dvd has great content and is good for adults and researchers. when i click &quot;islam,&quot; i get pages after pages of articles. you don't get that much from encarta.verdict: good for people and above. kids may not find it interesting.",1
"if you really want to learn french, this is one of the multimedia tools you can use. i lets you learn words, record them and listen back.",0
"i love the game! it's very realistic and fun. but sometimes when i play it, i never get past the original city to get my supplies. do not follow what your trail guide says about getting suplies. you always end up getting too much. when your out on the trail, make sure you have a gun and the stuff you need to work it, fishing gear, and plenty of vegetables. when you run out of meat, you'll need to hunt a lot. be sure to gather a lot too. especially right before winter, you can't gather then.",1
"my daughter ( yrs. at the time) loved this game. it is hard to find software that is really fun and educational at the same time. most of the software i buy for her, i have to load it and play at least once so that i can show her how to play. the zoombinis island odyssey was the exception. she had no problem playing it alone. it has a help screen with each activity that explains in detail. it is very easy to navigate and has multiple levels of play. we loved it so much that we now have the zoombinis logical journey and mountain rescue.",1
"although i did know some basic hebrew, this program has begun to teach me modern hebrew in a very effective way. i definitely would recommend it.some issues: currently there is no level . even after completing level , i think i will have a long way to go and will have to search out other learning approaches. although it runs in an ms window, i don't think it is a real windows program, so when going through the typing exercises, it gets glitchy at times. and some of the user interfaces are a bit awkward. for example in the typing exercises, it would be nice to be able to hit enter to submit your response, but instead you have to switch over to the mouse to push a button. also, to switch activities or lessons, there is no menu bar -- you have to hit their ""go back"" button.but overall, i am learning to speak hebrew.",1
a bit pricey for an opeating system ... windows xp pro is excellent ... but i think mr bill is gouging too much dough. one hundred dollar price tag would be a bit more humane ... to have billions is a bit redundand is dishuman ...,0
"very easy to figure out and use, the tools are basic but well chosen. it is showing its age and price range in a few places; only tracks supported, audio not supported, quantize is either full or none (no percent quantize or beat quantization). the biggest reason i continue using it is because the &quot;piano roll&quot; display mode is capable of showing all tracks on the same representational keyboard. wonderful for figuring out those interlocking horn parts. the biggest flaw (for me) is a poorly thought out and even more poorly documented patch naming system that forces me to go through screen after screen of unintuative choices if i change so much as one midi channel assignment on one piece in a session that week. i'd give it four stars, but the lack of audio makes it a poor contender in today's market.",1
"purchased psp studio recently and it wasn't able to open my nikon raw files (though the package says it does). i tried calling the tech support and was on hold for more than mins listening to how upgrading to their premium support would be of great value and finally gave up and hung up the phone.and one more thing, the tech support is not a toll free number and i was on hold for more than mins on a long distance call.",1
"i really like this game but i am annoyed that i can't find the last ladybug in the find me game. i can find no game hint support sites either. has anyone else had this problem? is it a bug (ha ha) in the program? i have spent weeks looking but always find the ones i've already found. can anyone out there help me? i am not a child, but my daughter can't find it either. apparantly the game will not finish until all bugs are found because i have found all the treasures. does this game not have more than one complete game to play? i thought it had like treasure hunt.thanks,",0
"excellent concept if you have more than one wireless computer on your system. automatically rotates your security key code (wep, etc) every hours on all your wireless computers to make it less likely that anyone else can use your system, although not fool-proof. slight difficulty configuring, but did recognize my wireless adapter and router. problem is that i lost connectivity to the internet a lot more frequently using this software; so much so that i decided to remove it from my system. once, i received an error message that ""security key rotation failed"". i use pc-cillin as my internet security/anti-virus. it may be that this program will gel more easily if you use mcafee products, but i don't know for sure.",1
"i recently upgraded from money . i was pleasantly suprised with the ability of downloading transactions for all credit card , bank and investment accounts. so all you have to do is check the info downloaded daily weekly whenever you want. had a little trouble with one investment account but overall was easy to setup. this is real nice for those of us who are not very fast on the keyboard.was hoping to get a product to help with retirement planning but after reviewing found it to be real weak in this area.",1
"onenote came with my new laptop (so i didnt have to put down almost $ on it) i find as college student, it's too much of a hassel to type instead of writing the old fashion way. i used onenote to take notes on a movie for a class and it was a hassel. also there's no way to save. if you want to type your note save money and use word instead.",0
"i ordered this for my middle school kids to get a good start on pre-algebra and algebra this summer. they both complain about how boring it is, and it is a fight to get them to use it. according to my kids, most of it is just text with a few short quizzes here and there. why isn't there a reader rabbit algebra!?",0
"this is the conclusion after reading all the reviews of previous products of encarta and encyclopaedia britannica and of my own experience. content wise, the eb is superior than encarta. yet eb software needs to be improved.the best way to get encarta to produce better software: ( ) boycott their products untill better ones are produced.( ) make public statements regarding their bad products.( ) direct complaints to the producer by phone and e-mail.if encarta, eb and other encyclopaedias (at least the software editions) merge it would be great. that would create the sole superencyclopaedia. another internet/super-information-highway! please make this matter public.",0
"the product is good, no doubt. the support that comes with it is poor.with and nt workstation you need to have only internet explorer (ie ), because the install of ie puts in files that are incompatible with the qb program.it took hours to install the program with research on the internet and on quickbooks site. if this is the version for why are they still using files from the browser install from ?(ie ).the phone in tech support does not even include install help for the program when you first buy it. good luck with it.",1
"the new ribbon design is supposed to make it easier to learn and use. it may be for some new users but for experienced users, it isn't. this version takes away some critical nuts & bolts customization features and many tasks now take longer to perform. this is not due to the learning curve, it is the inherent nature of the way the ribbon works. once you are familiar with the program, nothing is faster than the old menu structure. if microsoft added an option to allow users to choose between menus and ribbons, it would be the best of both worlds, satisfying the needs of both new and experienced users. the new version does not run macros as fast however. my recommedation for existing users: keep office for as long as you can and consider going to open office when microsoft no longer supports (unless they restore the functionality in a newer release of ).",1
"i install it on my notebook dell inspiron . instalation was fine as usual. all hardware works at once except wireless card in wpa-psk and mb/s mode. to install native nvidia driver i have to read documentation, yast work is not enough. i was surprised when discover that double quote key doesn't work in us international keyboard layout in kde. also i cannot install/remove any software after initial instalation from yast, it is not able to find dvd in my drive. every application starts very very slow. compare to my previous suse . i would not say this distributive is better but hardware support is good.",0
"although humongous does a great job, there should be some changes. after a couple months my year old is starting to get bored with this one. the same items are always needed and they're always in the same place. unlike travels through time, which my daughter still plays after a year, the items are in different places and you have to listen closely to the clues each time. i hope that newer products will be better, not just different.",1
"i thought at first the first cd was good for beginners, it tought you basic words and they are easy to remeber. if you understand little of portuguese this would be good to refresh on but if you know portuguese i would say go with something else. it doesnt even teach you how to put sentences together like &quot;and, but, the,&quot; or any other words.",1
"the metroguide software for france is more useful than the us version. the maps seem more up to date, and, due to the difficulty of finding anything in france, much more useful. i managed to find our company's new building in a new town by punching in the address, and i was able to use my emap to find it in minutes from the train station. it also seems to have up to date restaurant and attraction info for paris and other areas.",1
"i did not find this product useful! so far, i have not found any new links or tree members as a result of this software (and i only have about a dozen at this writing). the software is slow and the search engines are poorly written (if you have a tree with only one member, and search for a surname beginning with 't', the s/w wants to start with the 'a' index). you cannot search a cd unless the s/w finds an index reference to that particular cd. the instruction manual is **really** bad - and lacks directions to 'advanced' features.",1
"smart suite millenium edition is quite a good office product; i have used it as a backup for ms office, when some files will not open in ms office, or if they fail, smart suite will open them, or ... and this is the best of it... it will actually repair corrupted ms excel and ms word files... it seems to restore the template.the biggest, and silliest ommission is lotus notes ,which is not on smart suite . .... the original smart suite millenium edition had the notes app in it, and losing a key product in the suite is such a disaster.as always, the organiser works beautifully... possibly the best pim this side of a palm pilot.the best bonus is that the basic apps will run from the disc alone. you do not need to install this suite to use the smartsuite basics, like wordpro etc... you can run this amazing product straight from the disc !!! can ms office do that ??",1
the games run and play well. there are only versions of dominoes to choose from. it will not keep track of your victories and losses. background music is anoying. it does have three different games that are not found on the hoyle board game software.,1
program works as it should in generating the detailed maps. i will only be able to test the maps when we go to the us in a couple of months.,0
"an adequate low budget tool.very few plants that grow in south florida are in the database and i spent more time whiting out photos from my local nursury and neighbors in paint to import than designing my landscape. add-in plant files are expensive. anything that grows in my yard was only included as little houseplants, which is great if you live in new england and grow your crotons and hibiscus in indoor containers.not friendly to architecute outside the temperate zones.",1
"product seems to work good except: ) tells me i am not registered, yet i am and all functionality works. ) no email support. ) initial antivius subscription is only for months. clicking on the renew button takes you to a ""the page cannot be displayed"" page. on the website, renewing is $ . /year.",1
"this product performs just as advertised, and does it efficiently. it doesn't handle all my password situations, however, such as when the user id and password have to entered sequentially rather than simultaneously.",1
this game can be fun. however if you are a person looking for a game that is close to reality this is not the right game. there is such a difference between having a real pet and this computer game. i don't recomend this game because i don't feel that it is worth the money. maybe i feel this way because i have a really puppy that i love.,0
"unlike norton, i have not had issues with win , , xp-pro, nor have i had to periodically reload the os on the ten assorted machines i have used this suite on, for many years.i would prefer less keystrokes to perform routine tasks, but will trade that for the lack of headaches and the very good os optimizing/maintenance. i use homebuilt desktops, sony, compaq, averatec and ibm laptops; all w/o problems; all run swiftly as the registry files are much smaller and my hds are optimized.my other gripe is the loss of multi-machine okay to run it, as with the older versions. there was no warning that my new version would restrict me to one computer, which happened to be an averatec that died. e-mail contact reset the license to my ibm laptop. i run the software i paid retail prices for in an un-updated mode (except for anti-virus and anti-spyware) on the others.i'd like to see an inexpensive multi-machine option offered.",1
"i am an avid user of paperport, have been for years since i received paperport . (or maybe earlier) version with my brother all-in-one.it is miracle software that is easy to use, easy to find documents, photos, etcetera.you can scan to it from your scanner or scan from it to your scanner, drag and drop stacks of documents, you name it!the only thing you can't do is get customer support to help you even if you pay the money!i recently upgraded from pp and now even though i can see my scanner on the list pp does not believe it is there.sounds simple and i've spent hours getting the information they requested after three weeks of waiting and then nothing, you cannot communicate with them, their faq is ridiculous, and their ""community"" forum format is the worst!good luck!",1
"working on a master's degree, i wanted to increase my productivity studying and less time typing, but it seems that writing the papers could be realistically more productive than talking to the computer.there seemed to be more negative comments than positive, and while some people may be technologically challenged, i'd rather save the money, and rely on good old-fashioned methods.as the old adage goes, ""anything worth doing, is worth doing yourself"".",0
"i tried the demo of pinnacle before settling on screenblast. screenblast is much more stable and easy to do the basics. although pinnicle seemed to have a few features that screenblast did not have, most of them are really not important. (for example, pinnacle can do storyboarding, were screenblast can not.)the biggest plus that i saw (besides the fact that it does not crash every minutes like pinnacle) was the pan and crop feature. this allows you to pan/crop a shot. this is great for adding 'animation' to your still photos, as well as other effects for video.the biggest draw back is clearly the dvd creation. my studio . is included and is a very weak software. the two are not integrated, so if you want to creat a dvd with multiple chapters, you have to go back through the camera. it is very disappointing.overall, this is a decent product compared to its peers, but still has a few holes.",1
"i did not appreciate a new version ( . )designed for vista being available week after my purchase in october, . there was no indication of the an upcoming proper ""vista"" designed version on the adobe website or amazon.",0
"o.k.--let me first say this--i'm no prude by any means-- but was all the sex really that necessary? it was to the point of being gratuitous. i mean, we are all sexual beings, but this film went a tad overboard with the heterosexual as well as the homosexual sexual escapades.other than that, i really liked this movie. the acting was superb by everyone. jullianne moore has always been a favorite of mine--why she hasn't snagged as oscar yet is beyond me. her performance is matched by annette bening. i'm convinced, come awards season, nominations will be kind to them both. and what can you say about mark ruffalo???--he is just beyond sexy in this film.i just wish the film had a little less sex and a little more moore/bening dramatic interaction.",0
"while this product is functional and relatively easy to use, it seems to struggle to keep even the smallest projects together. my latest project, a minute production with mostly still images and mp music, continued to crash until i removed all of the music and readded it. the product has a self update feature that prompts you when there are fixes available. while this is a very nice feature, i have patched it at least three times and the product still seems to have many bugs. if you have endless patience and enjoy battling frustrating software this is the product for you. two stars is probably generous.",1
"i was disappointed because it did not do what i needed done and it was not possible to determine that without working with the product. description led me to believe it would do something that i needed done. instead, i find that i need to purchase another microsoft product to complete my task. however, i am reluctant because i still may not be able to do what needs done and instead will be out even more big $$$.",0
monsters inc. was a great movie.disney and pixiar always have made super motion pictures.then one day i thought of getting this c.d.now the monsters will be right in my computer!,0
