comments,Helpful
"just opened the box.why no charging cable? can not use it out-of-box.do not know where to buy such non-standard stuff?and why white plastic grip caps are missing,which shown in online picture and user manual?but shipping is very fast.",0
"the equus reader does a great job of reading the code for my escape, but doesn't offer any diagnostic information on how the code can be fixed. still have to take it to the dealer in order to fix the problem. the code can be erased/reset in order to shut off the engine light on certain code errors, but that still doesn't fix the overall problem, nor give any ideas to the owner of how to fix the problem. i'm a little disappointed.",0
i purchased this to put on top of my car's leather seat for comfort and protection of the leather. this is not for cars with leather seats. by the time i sat in the car the cushion had shifted to the point of being uncomfortable. it simply would not stay in place. the strap that goes over the back of the seat slid all the way down and the other two straps for the bottom of the seat were useless. i got so fed up i ended up tossing it in the back seat and now my dog seems to love it!,1
i wasn't very pleased with this product overall. i was expecting some nice alluminum/metal wire separators and instead these are cheap plastic separators. putting them on isn't the easiest because the bolt tries to fall out whenever you go to put them on. i didn't even bother to leave them on for this reason. i found a parts car and took some of the factory wire separators off of it for my ' supra.,1
"i used these for a cross contry motorcycle trip about miles long (one way). before i got them i had times where the unusual wind currents were making it hard to see, my eyes were weeping so badly. while using them, i had no problems. in fact the smoked lens was very appreciated when i was up in the high mountains at midday. at first they were uncomfortable until i learned that i needed to push my glasses into the goggles before putting them on. otherwise they put pressure on my glasses and got real unconfortable- i could have gone without the headache and it doesn't mention in the instructions about how to set things up so the goggles don't put pressure on the glasses. when on correctly they did everything i expected them to do. thumbs up!",1
"you would think as long as they have been making this hitch, they could get the spacing on the bolts correct. i put it on myself and didn't raise the car up. it isn't real easy, i used my foot to hold up the other end while i bolted it in. i had to take it down because the holes didn't line up and hit it with a sledge hammer. i had to do this a couple of times to get it right.have someone help you, and don't do it when it's deg's like i did.",1
"measure your steering wheel before you buy this product. it is said to fit up to ."" diameter, but that is not true. my wheel is ."" and i spent a very long time with more than one person trying to fit it on my wheel. it never fit. i think it would even be hard to get on a "" wheel. it is made well and the insulation would probably work, but they need to be more honest about the size of wheel it would fit. it seemed like my wheel would have to be at least an inch smaller.",1
i had a good experience with this vendor and product. i would purchase again if still available. product was received in a timely manner,0
"big and heavy, but built for a lot of continuous use - plenty of ventilation and the case and sockets that come with it are perfect and built well.air wrenches are the way to go if you are looking for precision, though. with this electric and any other one, you need to finish off your job with a torque wrench.",1
my kit did not come with a cord to hook up to my computer. to download the dtc codes. i would like to have one sent to me as the unit was new and it should have every hook up especially the cord to hook up the pc to the unit thanks dennis,0
"not enough time has passed to rate durability, but ease of applying is great, and no residue to speak of is very nice. shine looks great.",0
"it seems to work well for sealing leaks. i used it in my basement to coat areas where tiny cracks in the walls had appeared during previous rainstorms. one coat tackled all of the areas i was worried about. the next day, it rained. the corner- previously the leakiest spot- was bone dry. other spots had a tiny amount of water. in total, only a couple of tablespoons of water got through, versus the usual amount which can be anywhere from - gallons. yesterday, we got an even bigger storm and there was no further leakage. it took me cans to do coat. each can covered a good amount of space.i'm ordering more so that i can do a second coat, just to be on the safe side. this stuff works better than the special sealant paint from the hardware store.",1
"great coupler lock, great value, however no size is listed in the product description and, regrettably, it was too small and would not fit my ' boat trailer with an approximate -/"" wide coupler. for security reasons, i liked the fact that this lock has a tubular locking mechanism, versus a convention flat key system, which is easier to pick. learned, after the fact, that you have a better chance of having the coupler lock fit your trailer if it is described as ""universal."" i compromised and re-selected a master dat universal trailer coupler lock, which had great reviews, but a flat key locking mechanism. still, if you have a smaller "" hitch ball, this is a great coupler lock and terrific value!",1
"this works like it's supposed to. holds my without issue. a few notes though:) get your own mounting screws, the stuff that comes with it is junk) i ended up putting up x supports and mounting everything to those. i didn't put the middle support in, and it doesn't seem to matter.) my ceiling is is just over ' tall, and this only comes down to about eye-level for me (i'm ' tall). it's enough for me, but you might consider getting a longer rope.",1
