comments,Helpful
"what is deplicted in the picture of the product is not what you'll receive. the picture is of a male fitting that is screwed onto the dual hose air chuck so the chuck can be attached to an air hose. btw, the star rating is for the dual hose air chuck and not the fitting.",0
the product was great. it had a nice thick color. i imagine application would be very convenient and easy. but only thing was wrong was the actual color. turns out my car is not orient metallic blue but some gray color which means i wasted much needed money.,0
i was happy with the service and condition of the kit i have not used it yet but we will see,0
"this was not why i expected. i thought it would be an easy gadget, but it was not. it doesn't even have an on/off button. the turntable never worked. the instructions suggest what u need to do should the turntable not spin. i didn't even try it, just a waste of time. amazon's return policy makes it so easy to return the item back that i have no regrets on getting it as long as it was from amazon.",0
one of the springs was not attached the lock-out would'nt disengauge for somthing this expensive you would think it would be right.,0
i really hope i never have to use this item. it is something you do not want to spend money on but do not want to wish you had it when you need it. it seems sturdy and like it could do the job it is designed to do.,0
"great product so far. bought it back in november and hasn't shown any problems. easy to install alsoit kind of sucks that it only has one wiper blade when are shown so it threw me off a little. plus, i didn't know that my car had different sizes for driver side and passenger side.",0
i was hoping to find this item with either a lower price for its torque or higher torque for its price.,0
"my computer [brand new gateway tablet w/ vista and plenty of power] had a hard time registering this microphone even when it was on full volume. for kicks, i tried the speech recognition with the gateway's built in mic and it did just as good [poor] a job!! if you really need to dictate, stay away from this waste of money!!",0
"if you want your engine to be louder, then this is for you. dyna testing shows no increase of horse power and a honda tech told me this would be cheaper to manufacture than the stock air intake they make for your engine. i spent alot of time and money on my stereo, so im not interested in hearing my engine. if sound is what your after then get this.",0
"i used this product on an ikea pigmented/finshed leather couch and it did not condition it at all. the couch started to crack and peel after a few months of use after applying this product. there were no signs of cracking or peeling before. i think, this product may have hastened it by actually drying the leather. i'd stick to a real leather conditioner than this all-in-one cleaner/conditoner. why still the two stars? to be fair, i never used it for car leather upholstery, for which it is targetted for.",0
"well, i can't say much because i havn't fully installed this alarm system but when i first recieved this package i thought of two things:. they sent me the instead of the .....the has more features so i guess thats my gain.. it's much more complex than it looks.it looks like something that has a few connections and boom, it's ready. not at all. you have to mount the siren, whcih i'm having trouble doing because everything is in the way.when i fully install this alarm system (which may take me a couple days or so), i'll write a full review on it.",0
el sacngauge ii es un producto muy buenolleno las espectativas de lo que yo requer&iacute;a.deber&iacute;a traer un manual en espa&ntilde;ol paraaprovechar todas sus bondades.,0
i don't have this but just wondering how it doesn't fit. both the pcxp and the back plate use / accessories. should definitely fit.,0
