comments,Helpful
"amazon needs to provide a track listing for this e.p., and i, alas, am unable to do so and will thus be considered unhelpful, though that's more their fault than mine. but of the song which gives this disc its name, i can only say: ""yeah, we're wating around... uh huh.. we ain't doing anything... oh yeah, waiting on our butts... oh yeah..."" ..... nice inspiring anthem, ya fool!",0
"warning!!!! if you purchase this product you can run it on one and only one machine. for example if you have a laptop and desktop you may only install it on one of the two machines. if you try to install it on both the update feature will no longer work. when you contact trendmicro they will inform you that you will need to buy another complete copy of the software to use it on both machines. talk about gouging your customer!!!! there is no reason for trendmicro to treat &quot;home&quot; users in this way. the vast majority of software companies allow a product to be used on multiple machines as long as it is by the same user.as for the product itself, it works well.",0
"this movie started the trend of video game movies that were actually good...sadly a small trend. this movie did the best they could with the material they got. unlike its horrible sequel. they used the characters good, not too many or with horrible acting.now the reason i didnt give this a perfect score is simple. its not perfect, they did some major changes to the storyline especially to that of scorpion and sub-zero hatred towards each other. its only mentioned once by shang tsung as them being bitter rivals.another good aspect was how they did goro. i still dont know how they did it.buy this moviepros:-did the best they could-gorocons:-change of pace of storyline",0
"this game is really boring and easy. i comepleted this game in a half hour.not only that, its really stupid to. they have a guy in a wheelchair that can to a slam dunk! that's what i call dumb.",0
"i think that this is and ok program but not a very powerful one. if you wont a powerful program go to this web site www.imagener.com/se/gc and get a program called kneson imagener and you can get it in pro or standard version. and adobe photoshop i rate it a / and the kneson imagener a / .so, go and get kneson imagener now,before its to late!!!!!!!!!!!!!!!!!!!!",0
auto run failed on two new cd's & i was given by best buy store norton av that worked fine. see my children's review for more stuff.,0
"why? sumantec include less funtions in this version of norton utilities? if you compare the norton y k and the norton y k+ you see the first one have a lot of funtions and scans (harward scan, etc..) and the second one do not include all of that (more new with less funtions) plus of that if you have the black ice installed the program do not work properly, well i think is better you see if you really need this product before because the funtions it have are great but maybe your system can work with the las version",0
"i really like norton internet security.he's really on the ball.i have it set to let me know if anyone tries to access my computer,and it does a great job.i was quite surprised to find out how many times a day my internet security was compromised!it was worth every cent!i would recommend it to anyone!",0
"it is thought and very a well elaborated product, is useful for the equipment of house and users with little experience with pcs, friendly and of easy use",0
"i'm fully on vista x now, except for quicktime and starry night. in fact since running vista as one of the beta testers, the only bsods i've ever received were from quicktime and starry night!i've used starry night on xp, where it works fine. the only problem is, i don't run xp any more. i'd give it stars (the ui is waaaay too quirky, in my opinion -- too much java under the covers), except that i can't run it at the moment.",0
"unfortunately i am not too pleased with this product because it seems to have adversely affected my mac. i have been unable to get msn messenger and my online access has slowed down & my primary email has taken on all sorts of weird quirks.perhaps it's just too much product for me. i am a luddite in these matters so i'm not the best person to ask.i can, however access more attachments, files etc so i'll reserve final judgement",0
"first micro soft office profrofessional is a star. it's to bad that windows vista isn't. anyone developeing software especially a new operating system, should have taken the time to include drivers for all audio and printers etc.it is faster on my machine but i only see some bells and whistles that have been used from other sources added into windows. security is good but very anoying with those popup windows. i uninstalled it and went back to windows xp pro...................:(",0
item was received a few days later than expected. it was a single disk in shrink wrapping with thin cardboard microsoft cover and product key. item installed/and registered ok. have not had any problems with it to date.,0
i was looking forward to using the adobe premier elements . to edit & put into dvd the many camcorder tapes i have. unfortunately when i tried to download the software i was informed that my cpu did not meet the minimum requirements to use this software. so now i have to upgrade my cpu when i can afford it.ned pritchard,0
this software really help me enjoy my e-trex a whole lot more. being able to make waypoints from my pc was very handy. a nice accessory.,0
"if you are a software programmer who use borland jbuilder, this suite definitely not for you because you can't launch jbuilder unless you shutdown zonealarm.",0
my friend purchased spanish now and loves it! i dont know whether i should spend my money and buy swedish now! should i? shouldn't i?,0
i was hoping it would of been one cd instead of eight. i was hoping to obtain a cd dealing with whole words as well.,0
"the contents of this dvd rom are excellent but be careful not to scratch or smudge the disc because you might then soon enough have to send it off to get repaired somewhere. dvd roms are much more sensitive to damage than cd roms are. it's a very delicate medium, unfortunately.",0
"this is a response to the review not for true beginners, march , reviewer: a software user from somewhereinthe usa. you may be a software user, but you don't know what immersion means. perhaps you should look it up! it's sink or swim with a foriegn language. you should know that there are immersion schools around the world that operate on this basis. how do you think babies learn to talk?",0
